NO;KODE PRODUK;NAMA;JENIS PRODUK;SATUAN;HPP;HARGA SATUAN
1;APA;ASTOR PANJANG ALADIN;Manis;BALL 4 KG;Rp120.000;Rp165.000
2;AMA;ASTOR MINI ALADIN;Manis;BALL 4 KG;Rp110.000;Rp140.000
3;APV;ASTOR PANJANG VALEO ;Manis;BALL 4 KG;Rp120.000;Rp160.000
4;BI;BAGELEN ION;Manis;BALL 1 KG;Rp40.000;Rp63.000
5;B2B;BANPOL 2 BURUNG;Asin;BALL 2 KG;Rp100.000;Rp124.000
6;BK;BANTAL KEJU;Asin;BALL 1 KG;Rp40.000;Rp60.000
7;BA;BASRENG ATO;Pedas;BALL 2 KG;Rp50.000;Rp75.000
8;BO;BATAGOR ORI;Asin;BALL 2 KG;Rp50.000;Rp70.000
9;BPD;BOLA PELANGI DUO;Manis;BALL 4 KG;Rp100.000;Rp140.000
10;BSA;BOLU S AZZAHRA;Manis;BALL 1 KG;Rp40.000;Rp65.000
11;BKT;BROWNIS KARAKTER ;Manis;BALL 1 KG;Rp50.000;Rp72.000
12;CO;CIKIBUL OSAKA;Manis;BALL 1 KG;Rp40.000;Rp40.000
13;CW;CIPUT WAYANG ;Asin;BALL 1 KG;Rp50.000;Rp80.000
14;CC;COCOSTIK;Manis;BALL 1 KG;Rp20.000;Rp40.000
15;CP;COMBRING PEDAS;Pedas;BALL 1 KG;Rp40.000;Rp60.000
16;GD;GURILEM DASYAT;Pedas;BALL 1 KG;Rp30.000;Rp50.000
17;GL;GURILEM LYDIA;Pedas;BALL 1 KG;Rp30.000;Rp55.000
18;KAB;KACANG ATOM BIMA ;Asin;BALL 2 KG;Rp80.000;Rp110.000
19;KBA;KACANG BANDUNG ALADIN;Asin;BALL 2 KG;Rp120.000;Rp150.000
20;KK;KACANG KEDELAI;Asin;BALL 2 KG;Rp90.000;Rp110.000
21;KM;KACANG MIX;Asin;BALL 2 KG;Rp90.000;Rp110.000
22;KTA;KACANG TELOR AMPERA;Asin;BALL 2 KG;Rp10.000;Rp130.000
23;KTP;KACANG TOBA PEDAS;Pedas;BALL 2 KG;Rp80.000;Rp110.000
24;KCI;KEMPLANG CAP IKAN ;Asin;BALL 1 KG;Rp50.000;Rp75.000
25;KKW;KERUPUK KEMPLANG WHR;Asin;BALL 1 KG;Rp50.000;Rp70.000
26;KMW;KUE MARIE WIJEN;Asin;BALL 2 KG;Rp80.000;Rp115.000
27;KM;KUPING MINI;Manis;BALL 1 KG;Rp25.000;Rp40.000
28;LU;LADU UNGU;Manis;BALL 1 KG;Rp40.000;Rp40.000
29;MC;MAKARONI CIKRUH;Pedas;BALL 1 KG;Rp50.000;Rp70.000
30;MCM;MAKARONI CIKRUH MAWARASA;Pedas;BALL 1 KG;Rp50.000;Rp70.000
31;MOK;MAKARONI ORI KIORY;Asin;BALL 1 KG;Rp40.000;Rp55.000
32;MRB;MAKARONI RUJAK BALI ;Pedas;BALL 1 KG;Rp40.000;Rp60.000
33;MT;MAKARONI TABUR;Pedas;BALL 1 KG;Rp40.000;Rp60.000
34;MPK;ManisAN PALA KERING;Manis;BALL 4 KG;Rp200.000;Rp240.000
35;MM;MARNING ;Asin;BALL 2 KG;Rp60.000;Rp90.000
36;MCM;MARNING CAP BOGOR MAS;Asin;BALL 2 KG;Rp100.000;Rp127.000
37;MJS;MARNING JAGUNG AJI SUKA;Asin;BALL 2 KG;Rp80.000;Rp100.000
38;MGS;MIE GULUNG ORI/Pedas SDP;Pedas;BALL 1 KG;Rp50.000;Rp75.000
39;PM;PANGSIT MAWAR;Pedas;BALL 1 KG;Rp50.000;Rp70.000
40;PTB;PILUS TIGA BURUNG ;Asin;BALL 1 KG;Rp30.000;Rp53.000
41;PAM;PISANG AROMA MAUYUT;Manis;BALL 2 KG;Rp50.000;Rp75.000
42;PAS;PISANG ASIN SDP;Asin;BALL 2 KG;Rp60.000;Rp80.000
43;PST;POKEN STIK TAKARA;Asin;BALL 1 KG;Rp50.000;Rp65.000
44;PBR;POTATO BULAT BALADO RIORY;Pedas;BALL 1 KG;Rp40.000;Rp50.000
45;PKR;POTATO  KOTAK RYORI;Asin;BALL 1 KG;Rp30.000;Rp50.000
46;SA;SIOMAY AZAHRA;Pedas;BALL 1 KG;Rp40.000;Rp60.000
47;SB;SALE BASAH ;Manis;BALL 1 KG;Rp30.000;Rp46.000
48;SBM;SINGKONG BALADO MJ;Pedas;BALL 2 KG;Rp80.000;Rp100.000
49;ST;SINGKONG TES ;Asin;BALL 2 KG;Rp100.000;Rp120.000
50;SV;SEBLAK VIRAL;Pedas;BALL 1 KG;Rp40.000;Rp68.000
51;SM;SISTIK MAWAR;Asin;BALL 1 KG;Rp50.000;Rp65.000
52;SBT;STIK BALADO TAKARA;Pedas;BALL 1 KG;Rp40.000;Rp60.000
53;SUL;SUMPIA UDANG JAYA LAKSANA ;Asin;BALL 2 KG;Rp80.000;Rp110.000
54;TGW;TELOR GABUS WIJEN ;Asin;BALL 2 KG;Rp60.000;Rp85.000
55;TGT;TELOR GABUS TJ;Asin;BALL 1 KG;Rp25.000;Rp35.000



/** ========

code_product;supplier;quantity;type;period
TGT;Bumi Sari Cianjur;10;in;2024-01
TGT;Bumi Sari Cianjur;10;out;2024-01
SBM;Bumi Sari Cianjur;12;out;2024-01
MCM;Bumi Sari Cianjur;12;in;2024-02
